Position,Name,Type,Signal,Label,Arduino,
17,PA3,I/O,USART2_RX,,D0,0
16,PA2,I/O,USART2_TX,,D1,1
33,PB12,I/O,,,D2,2
30,PB11,I/O,,,D3,3
23,PA7,I/O,,,D4,4
62,PB9,I/O,,,D5,5
61,PB8,I/O,,,D6,6
22,PA6,I/O,,,D7,7
21,PA5,I/O,,,D8,8
20,PA4,I/O,,,D9,9
44,PA11,I/O,,,D10,10
57,PB5,I/O,,,D11,11
56,PB4,I/O,,,D12,12
40,PC9,Output,GPIO_Output,LD3 [Green Led],,13
55,PB3,I/O,,,D13,52
59,PB7,I/O,SDA,,D14,14
58,PB6,I/O,SCL,,D15,15
8,PC0,I/O,,,A0,16
9,PC1,I/O,,,A1,17
10,PC2,I/O,,,A2,18
11,PC3,I/O,,,A3,19
24,PC4,I/O,,,A4,20
25,PC5,I/O,,,A5,21
34,PB13,I/O,SCK2,,,22
36,PB15,I/O,MOSI2,,,23
14,PA0,I/O,GPIO_EXTI0,B1 [Blue PushButton],,25
3,PC14-OSC32_IN,I/O,,,,26
4,PC15-OSC32_OUT,I/O,,,,27
35,PB14,I/O,MISO2,,,28
2,PC13,I/O,,,,29
15,PA1,I/O,,,,30
18,PF4,I/O,,,,31
19,PF5,I/O,,,,32
26,PB0,I/O,,,,33
27,PB1,I/O,,,,34
28,PB2,I/O,,,,35
29,PB10,I/O,,,,36
37,PC6,I/O,,,,37
38,PC7,I/O,,,,38
39,PC8,Output,GPIO_Output,LD4 [Blue Led],,39
60,BOOT0,Boot,,,,40
41,PA8,I/O,,,,41
42,PA9,I/O,USART1_TX,,,42
43,PA10,I/O,USART1_RX,,,43
45,PA12,I/O,,,,44
47,PF6,I/O,,,,45
48,PF7,I/O,,,,46
50,PA15,I/O,,,,47
51,PC10,I/O,,,,48
52,PC11,I/O,,,,49
53,PC12,I/O,,,,50
54,PD2,I/O,,,,51
1,VBAT,Power,,,,
5,PF0-OSC_IN,I/O,,,,
6,PF1-OSC_OUT,I/O,,,,
7,NRST,Reset,,,,
12,VSSA,Power,,,,
13,VDDA,Power,,,,
31,VSS,Power,,,,
32,VDD,Power,,,,
46,PA13,I/O,SYS_SWDIO,SWDIO,,
49,PA14,I/O,SYS_SWCLK,SWCLK,,
63,VSS,Power,,,,
64,VDD,Power,,,,
